,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,Viedma,-40.8135,-62.9967,50.09,79,1,12.82,AR,1661032232
75,Butaritari,3.0707,172.7902,81.07,72,4,3.6,KI,1661032233
76,Nuuk,64.1835,-51.7216,40.1,80,100,8.41,GL,1661032233
77,Peachland,49.7665,-119.7357,88.14,87,70,3.87,CA,1661032233
78,Kaitangata,-46.2817,169.8464,49.71,89,100,3.6,NZ,1661032234
79,Balkanabat,39.5108,54.3671,79.61,16,0,18.77,TM,1661032067
80,Buala,-8.145,159.5921,81.73,77,97,10.92,SB,1661032234
81,Whitianga,-36.8333,175.7,59.56,80,20,4.9,NZ,1661032106
82,Taltal,-25.4,-70.4833,57.87,78,23,2.01,CL,1661032235
83,Druzhba,52.0428,33.9453,64.38,61,99,9.35,UA,1661032235
84,Faanui,-16.4833,-151.75,78.51,74,86,14.54,PF,1661032235
85,Itanhandu,-22.2958,-44.9347,50.85,92,91,4.36,BR,1661032236
86,Despotovac,44.0925,21.4469,65.79,97,100,1.01,RS,1661032236
87,Ribeira Grande,38.5167,-28.7,74.48,74,10,2.53,PT,1661032236
88,Touros,-5.1989,-35.4608,75.07,75,84,17.11,BR,1661032050
89,Krasnogvardeyskiy,57.3793,62.3195,51.84,92,80,4.03,RU,1661032237
90,General Pico,-35.6566,-63.7568,60.53,24,51,6.73,AR,1661032237
91,Pacific Grove,36.6177,-121.9166,78.35,75,0,14.97,US,1661032237
92,Ambilobe,-13.2,49.05,66.11,80,63,4.56,MG,1661032238
93,Provideniya,64.3833,-173.3,52.84,63,82,3.91,RU,1661032238
94,Juruti,-2.1522,-56.0922,86.9,42,80,3.62,BR,1661032239
95,Saskylakh,71.9167,114.0833,36.55,87,98,7.14,RU,1661032239
96,Japura,-0.3167,102.35,73.63,99,100,2.53,ID,1661032239
97,Katobu,-4.9408,122.5276,74.01,85,81,6.24,ID,1661032240
98,Panzhihua,26.5851,101.7128,68.86,95,68,1.3,CN,1661031952
99,Raudeberg,61.9875,5.1352,59.95,70,100,12.26,NO,1661032240
100,Cockburn Town,21.4612,-71.1419,85.96,66,40,17.27,TC,1661032240
101,Zhigansk,66.7697,123.3711,45.23,87,100,9.62,RU,1661031960
102,Maturin,9.75,-63.1767,80.71,81,100,4.14,VE,1661032241
103,Westport,41.1415,-73.3579,87.13,63,0,7.0,US,1661032205
104,Upernavik,72.7868,-56.1549,39.96,66,8,5.03,GL,1661032241
105,Amberley,39.2048,-84.428,83.08,72,0,3.44,US,1661032242
106,Tiksi,71.6872,128.8694,41.27,94,100,15.3,RU,1661032242
107,Havre-St-Pierre,50.2334,-63.5986,77.36,53,20,5.75,CA,1661032242
108,Kapaa,22.0752,-159.319,84.18,64,20,11.5,US,1661032243
109,Russell,32.3502,-85.1999,90.68,55,0,6.91,US,1661032243
110,Cidreira,-30.1811,-50.2056,56.03,73,0,14.79,BR,1661031974
111,Saint Anthony,45.0205,-93.218,76.93,72,40,13.8,US,1661032243
112,Ilulissat,69.2167,-51.1,36.14,71,92,6.17,GL,1661032244
113,Adrar,20.5022,-10.0711,92.62,29,79,6.06,MR,1661032059
114,Ibrā’,22.6906,58.5334,86.77,50,86,5.08,OM,1661032153
115,Hamada,34.8833,132.0833,76.23,95,96,3.96,JP,1661032244
116,Hirara,24.8,125.2833,80.87,89,75,2.3,JP,1661032245
117,Olaine,56.7853,23.9381,65.93,88,0,5.75,LV,1661032245
118,Alofi,-19.0595,-169.9187,69.69,88,1,5.75,NU,1661032245
119,São Filipe,14.8961,-24.4956,78.26,84,100,5.17,CV,1661032246
120,Payakumbuh,-0.2202,100.6308,69.85,98,100,2.75,ID,1661032246
121,Labuhan,-6.8844,112.2051,75.97,79,99,7.11,ID,1661032246
122,Puri,19.8,85.85,82.92,80,100,8.81,IN,1661032247
123,Cherskiy,68.75,161.3,62.26,48,16,17.76,RU,1661032247
124,Patos,-7.0244,-37.28,78.12,47,62,21.65,BR,1661032081
125,Kirakira,-10.4544,161.9205,81.45,79,29,10.63,SB,1661032248
126,Mīrābād,30.4362,61.8383,82.71,16,0,21.81,AF,1661032248
127,Port Alfred,-33.5906,26.891,54.27,72,86,16.73,ZA,1661032248
128,Talnakh,69.4865,88.3972,40.21,70,19,6.2,RU,1661032249
129,Tigil',57.8,158.6667,59.23,85,100,11.41,RU,1661032249
130,Puerto Escondido,15.85,-97.0667,86.52,64,53,6.15,MX,1661032249
131,Tilichiki,60.4667,166.1,50.99,94,100,2.91,RU,1661032004
132,Dikson,73.5069,80.5464,41.54,91,99,11.65,RU,1661032250
133,Arraial do Cabo,-22.9661,-42.0278,66.16,63,100,4.61,BR,1661032250
134,Chokurdakh,70.6333,147.9167,61.72,64,54,7.11,RU,1661032250
135,Cabo San Lucas,22.8909,-109.9124,93.61,65,100,8.01,MX,1661032195
136,Kabinda,-6.1333,24.4833,73.56,50,3,3.96,CD,1661032083
137,Husavik,66.0449,-17.3389,44.02,94,100,14.83,IS,1661032251
138,Robertsport,6.7533,-11.3686,76.59,83,100,8.88,LR,1661032251
139,Coyhaique,-45.5752,-72.0662,51.75,66,75,0.0,CL,1661032123
140,Pevek,69.7008,170.3133,48.43,58,2,16.82,RU,1661032252
141,Paita,-5.0892,-81.1144,66.04,77,41,17.94,PE,1661031965
142,Luwuk,-0.9516,122.7875,72.97,73,58,4.72,ID,1661032252
143,Severodvinsk,64.5635,39.8302,62.11,67,31,8.25,RU,1661032253
144,George Town,5.4112,100.3354,77.95,92,40,15.01,MY,1661032253
145,Mīnāb,27.1467,57.0801,88.18,67,1,1.3,IR,1661032253
146,Rocha,-34.4833,-54.3333,47.28,73,0,5.84,UY,1661032254
147,Linxia Chengguanzhen,35.6003,103.2064,66.29,90,93,2.08,CN,1661032254
148,Nemuro,43.3236,145.575,66.16,99,96,4.45,JP,1661032120
149,Puerto Ayora,-0.7393,-90.3518,78.76,91,94,5.01,EC,1661032254
150,Pemba,-12.974,40.5178,74.1,88,20,7.0,MZ,1661032255
151,Ugoofaaru,5.6667,73.0,81.46,77,99,12.15,MV,1661032255
152,Tegul'det,57.3064,88.1667,49.06,95,95,5.57,RU,1661032255
153,Turukhansk,65.8167,87.9833,38.64,80,14,7.05,RU,1661032256
154,Nabire,-3.3667,135.4833,73.8,94,93,3.6,ID,1661032256
155,New Norfolk,-42.7826,147.0587,36.91,84,11,2.86,AU,1661032256
156,Katete,-0.7818,29.7544,61.93,93,89,2.17,UG,1661032257
157,Port Lincoln,-34.7333,135.8667,51.35,90,41,8.55,AU,1661032257
158,Carnarvon,-24.8667,113.6333,65.34,47,0,8.55,AU,1661032257
159,Praia,14.9215,-23.5087,79.34,83,75,4.61,CV,1661032258
160,Mackenzie,55.2999,-123.1698,79.02,44,0,9.22,CA,1661032258
161,Glossa,35.4717,23.7763,81.09,79,0,7.07,GR,1661032258
162,Libenge,3.65,18.6333,71.58,97,90,3.09,CD,1661032259
163,Tautira,-17.7333,-149.15,77.09,79,53,13.6,PF,1661032259
164,Būlaevo,54.9056,70.4439,54.72,94,100,6.26,KZ,1661032259
165,Beringovskiy,63.05,179.3167,49.8,63,6,5.61,RU,1661032260
166,College,64.8569,-147.8028,64.72,45,75,5.75,US,1661032260
167,New Richmond,45.123,-92.5366,76.08,68,75,13.8,US,1661032105
168,Hualmay,-11.0964,-77.6139,63.97,75,10,9.33,PE,1661032261
169,Dutse,11.7594,9.3392,72.54,88,79,7.45,NG,1661032261
170,Pangnirtung,66.1451,-65.7125,45.97,85,100,1.63,CA,1661032261
171,Pont-Rouge,46.7566,-71.6978,82.49,63,3,3.09,CA,1661032262
172,Sidhi,24.4167,81.8833,74.88,93,100,18.14,IN,1661032262
173,Lompoc,34.6391,-120.4579,91.02,72,0,16.11,US,1661032262
174,Severnyy,50.677,36.5532,64.44,63,75,11.18,RU,1661032263
175,Bambous Virieux,-20.3428,57.7575,71.85,73,75,16.11,MU,1661032263
176,Ballina,-28.8667,153.5667,55.78,79,100,9.51,AU,1661032264
177,Dakar,14.6937,-17.4441,80.73,83,75,18.41,SN,1661032248
178,Chui,-33.6971,-53.4616,47.64,67,30,5.08,UY,1661032264
179,Gamba,-2.65,10.0,71.62,91,26,3.96,GA,1661032264
180,Fortuna,40.5982,-124.1573,72.93,74,20,12.66,US,1661032265
181,Souillac,-20.5167,57.5167,71.98,73,75,16.11,MU,1661032265
182,Tapes,-30.6733,-51.3958,52.32,76,0,7.72,BR,1661032265
183,Mount Gambier,-37.8333,140.7667,38.3,87,9,6.2,AU,1661032266
184,Peniche,39.3558,-9.3811,67.28,89,3,14.88,PT,1661031993
185,Yakeshi,49.2833,120.7333,45.72,66,76,4.25,CN,1661032266
186,Houlton,46.1262,-67.8403,84.61,39,0,5.75,US,1661032267
187,Kiruna,67.8557,20.2251,61.72,94,100,12.66,SE,1661032267
188,Airai,-8.9266,125.4092,51.42,80,3,4.61,TL,1661032267
189,Grand Gaube,-20.0064,57.6608,72.0,73,10,8.01,MU,1661032158
190,Havelock,34.8791,-76.9013,85.98,79,40,11.5,US,1661032064
191,Marigot,18.0667,-63.0833,86.09,70,40,13.8,MF,1661032179
192,Rantauprapat,2.1,99.8333,72.72,98,100,1.97,ID,1661032268
193,Kruisfontein,-34.0033,24.7314,47.88,83,31,10.22,ZA,1661032268
194,Nhulunbuy,-12.2333,136.7667,72.21,73,3,8.05,AU,1661032269
195,The Valley,18.217,-63.0578,86.14,70,40,12.66,AI,1661032062
196,Teahupoo,-17.8333,-149.2667,75.16,79,57,13.73,PF,1661032269
197,Moïssala,8.3404,17.7663,72.54,95,99,2.46,TD,1661032269
198,Wanning,18.8003,110.3967,80.17,88,100,12.59,CN,1661032270
199,Iracoubo,5.4802,-53.2011,80.33,84,98,9.51,GF,1661032270
200,Saldanha,-33.0117,17.9442,46.45,70,0,8.61,ZA,1661032270
201,Stornoway,58.2093,-6.3865,52.03,93,75,6.91,GB,1661032271
202,Narsaq,60.9167,-46.05,41.63,95,100,1.05,GL,1661032271
203,Ola,59.5833,151.2833,55.15,90,100,17.31,RU,1661032271
204,Yeniseysk,58.4497,92.1703,51.22,76,100,6.58,RU,1661032272
205,Juneau,58.3019,-134.4197,68.11,84,75,10.36,US,1661032272
206,Klaksvík,62.2266,-6.589,49.12,91,99,10.96,FO,1661032007
207,Okato,-39.2,173.8833,59.18,95,64,14.18,NZ,1661032277
208,Koungou,-12.7336,45.2042,73.11,83,0,3.44,YT,1661032277
209,Inhambane,-23.865,35.3833,67.19,74,2,12.82,MZ,1661032277
210,Olafsvik,64.8945,-23.7142,46.26,72,93,14.67,IS,1661032278
211,Kropotkin,45.4375,40.5756,71.71,57,91,12.35,RU,1661032278
212,Akureyri,65.6835,-18.0878,44.53,87,100,23.02,IS,1661032278
213,Nishihara,26.1842,127.7558,83.48,84,75,9.22,JP,1661032121
214,Coahuayana Viejo,18.7333,-103.6833,88.48,63,99,6.04,MX,1661032279
215,Portland,45.5234,-122.6762,80.58,66,75,5.75,US,1661032048
216,Los Llanos de Aridane,28.6585,-17.9182,75.13,73,0,13.8,ES,1661032279
217,Manggar,-2.8833,108.2667,80.42,82,100,13.29,ID,1661032280
218,Conde,-7.2597,-34.9075,76.46,69,75,11.5,BR,1661032280
219,Meulaboh,4.1363,96.1285,75.33,87,98,3.49,ID,1661032073
220,Scottsbluff,41.8666,-103.6672,86.77,33,0,17.27,US,1661032280
221,Yaan,7.3833,8.5667,73.31,88,54,2.93,NG,1661032281
222,Bathsheba,13.2167,-59.5167,84.81,79,40,8.05,BB,1661032281
223,Kapit,2.0167,112.9333,74.01,99,100,1.21,MY,1661032281
224,Vung Tau,10.346,107.0843,79.68,85,100,10.02,VN,1661032282
225,Roald,62.5833,6.1333,61.09,82,0,4.61,NO,1661032282
226,Nanortalik,60.1432,-45.2371,39.54,98,100,4.85,GL,1661032282
227,Abu Samrah,35.3029,37.1841,77.34,66,0,8.97,SY,1661032283
228,Saint George,37.1041,-113.5841,99.25,29,0,3.44,US,1661032261
229,Arzgir,45.3728,44.2206,77.29,39,100,24.54,RU,1661032283
230,Bethanien,-26.502,17.1583,47.62,42,0,3.24,NA,1661032284
231,Río Gallegos,-51.6226,-69.2181,44.65,49,0,12.66,AR,1661032284
232,Comodoro Rivadavia,-45.8667,-67.5,46.26,81,20,4.61,AR,1661032284
233,Petropavlovka,50.6114,105.3196,48.0,91,100,4.45,RU,1661032285
234,Peace River,56.2501,-117.286,84.51,30,20,16.11,CA,1661032285
235,Tuatapere,-46.1333,167.6833,48.76,88,98,4.47,NZ,1661032285
236,Saint-Philippe,-21.3585,55.7679,69.39,78,45,12.41,RE,1661032286
237,Broome,42.2506,-75.833,82.2,82,0,4.61,US,1661032286
238,Mabaruma,8.2,-59.7833,79.81,77,84,5.95,GY,1661032286
239,Haines Junction,60.7522,-137.5108,67.95,34,99,5.75,CA,1661032287
240,Eyl,7.9803,49.8164,77.14,82,100,21.59,SO,1661032287
241,Tomatlán,19.9333,-105.25,88.72,62,14,7.78,MX,1661032287
242,Moroni,-11.7022,43.2551,73.58,74,0,1.83,KM,1661032288
243,Srednekolymsk,67.45,153.6833,67.53,46,4,15.64,RU,1661032064
244,Coracora,-15.0333,-73.7833,58.35,23,0,8.9,PE,1661032228
245,Aykhal,66.0,111.5,36.97,95,100,6.08,RU,1661032288
246,Ostrovnoy,68.0531,39.5131,64.45,78,10,15.68,RU,1661032289
247,Dawson Creek,55.7666,-120.2362,78.44,38,0,6.91,CA,1661032289
248,Nanuque,-17.8392,-40.3539,66.31,84,99,15.57,BR,1661032289
249,Maniitsoq,65.4167,-52.9,40.3,81,88,11.63,GL,1661032290
250,Jevnaker,60.2414,10.385,59.76,75,11,4.74,NO,1661032290
251,Cairns,-16.9167,145.7667,67.95,84,8,8.05,AU,1661032126
252,Vuktyl,63.8567,57.3094,60.57,81,7,3.47,RU,1661032291
253,Sungai Raya,0.7,108.9,76.55,92,100,5.48,ID,1661032291
254,Sobolevo,54.4299,31.8996,58.37,75,91,6.55,RU,1661032291
255,Batemans Bay,-35.7167,150.1833,46.09,78,8,3.74,AU,1661032111
256,Leningradskiy,69.3833,178.4167,42.96,71,7,11.05,RU,1661032048
257,Asău,46.4333,26.4,69.28,78,7,2.51,RO,1661032292
258,Henties Bay,-22.116,14.2845,56.35,72,48,3.04,NA,1661032292
259,Isangel,-19.55,169.2667,77.11,83,40,0.0,VU,1661032292
260,Katangli,51.7102,143.2326,57.9,91,96,6.29,RU,1661032293
261,Port Hardy,50.6996,-127.4199,60.98,88,75,3.44,CA,1661032173
262,Byron Bay,-28.65,153.6167,55.71,79,82,10.04,AU,1661032044
263,Tsumeb,-19.2333,17.7167,56.64,21,68,10.07,NA,1661032293
264,Capinópolis,-18.6819,-49.5697,79.59,34,55,6.64,BR,1661032294
265,San Patricio,28.017,-97.5169,92.17,55,33,15.64,US,1661032294
266,Puerto Castilla,16.0167,-85.9667,85.95,74,40,6.91,HN,1661032294
267,San Juan,-31.5375,-68.5364,66.56,14,0,8.52,AR,1661032114
268,Bantry,51.6833,-9.45,59.79,95,97,4.16,IE,1661032063
269,Gandhinagar,23.2167,72.6833,82.38,89,75,4.61,IN,1661032295
270,João Pinheiro,-17.7425,-46.1725,76.89,32,50,9.73,BR,1661032295
271,Valparaíso,-33.0393,-71.6273,66.43,84,0,11.5,CL,1661032295
272,City of San Pedro,14.35,121.0167,78.03,89,20,3.44,PH,1661032296
273,Narón,43.5167,-8.1528,69.04,96,59,3.06,ES,1661032296
274,Saint-Louis,16.3333,-15.0,87.44,64,100,14.63,SN,1661032296
275,Natchez,31.5604,-91.4032,77.25,94,100,3.44,US,1661032025
276,Half Moon Bay,37.4636,-122.4286,100.54,65,100,14.97,US,1661032297
277,Atherton,53.5237,-2.4935,64.29,73,26,3.0,GB,1661032297
278,Clyde River,70.4692,-68.5914,52.03,62,100,16.11,CA,1661032298
279,Aden,12.7794,45.0367,89.98,53,73,13.58,YE,1661032139
280,Norman Wells,65.282,-126.8329,60.84,63,20,8.05,CA,1661032298
281,Mandan,46.8267,-100.8896,86.81,45,20,10.36,US,1661032298
282,Sibu,2.3,111.8167,73.71,94,40,5.01,MY,1661032299
283,Jishou,28.3167,109.7167,80.44,79,62,3.04,CN,1661032299
284,Champerico,14.3,-91.9167,91.94,70,65,6.78,GT,1661032299
285,Pokrovskoye,47.4157,38.8971,72.18,62,97,16.28,RU,1661032300
286,Vestmanna,62.1564,-7.1664,47.32,100,100,12.66,FO,1661032300
287,Beipiao,41.7919,120.7792,62.6,92,41,5.17,CN,1661032301
288,Charters Towers,-20.1,146.2667,61.18,77,0,4.9,AU,1661032114
289,Sadovoye,47.7764,44.5089,73.67,19,100,20.83,RU,1661032301
290,Quimper,48.0,-4.1,59.58,94,100,2.3,FR,1661032301
291,Angola,-12.5,18.5,53.22,29,4,4.38,AO,1661032302
292,Boyolangu,-8.1181,111.8935,73.47,87,100,7.16,ID,1661032302
293,Umeå,63.8284,20.2597,64.33,100,100,16.11,SE,1661032302
294,Waddān,29.1614,16.139,82.4,51,0,12.01,LY,1661032303
295,Lyuban',52.7985,28.0048,64.89,62,92,9.37,BY,1661032303
296,Suntar,62.1444,117.6319,46.9,89,99,0.96,RU,1661032303
297,Pontianak,-0.0333,109.3333,75.18,100,100,0.0,ID,1661032149
298,Swellendam,-34.0226,20.4417,45.19,80,2,3.51,ZA,1661032304
299,Amazar,53.858,120.875,45.19,93,57,2.73,RU,1661032304
300,Aksarka,66.5606,67.7975,49.68,83,100,6.58,RU,1661032304
301,Balbalan,17.4414,121.2019,63.77,94,90,2.1,PH,1661032305
302,Emerald,-23.5333,148.1667,54.34,55,1,16.6,AU,1661032096
303,Flinders,-34.5833,150.8552,50.18,69,7,5.99,AU,1661032305
304,Coquimbo,-29.9533,-71.3436,53.33,93,100,10.36,CL,1661032305
305,Tabasalu,59.4303,24.5331,66.29,79,0,4.61,EE,1661032306
306,Kuching,1.55,110.3333,77.22,100,40,4.61,MY,1661032232
307,Zyryanka,65.75,150.85,63.48,50,56,14.81,RU,1661032154
308,Changqing,36.5575,116.7272,69.93,75,83,5.55,CN,1661032306
309,Dalvik,65.9702,-18.5286,44.53,97,100,10.25,IS,1661032307
310,Severo-Kuril'sk,50.6789,156.125,54.19,98,100,8.48,RU,1661032307
311,Sovetskaya Gavan',48.9723,140.2878,60.28,72,80,8.19,RU,1661032307
312,Kyra,49.5776,111.9753,47.39,77,100,3.29,RU,1661032308
313,Hasaki,35.7333,140.8333,77.4,94,100,7.07,JP,1661032231
314,Bocaiúva,-17.1078,-43.815,71.31,68,84,10.13,BR,1661032308
315,Mar del Plata,-38.0023,-57.5575,59.02,44,0,9.22,AR,1661032309
316,Tessalit,20.1986,1.0114,88.75,33,64,7.43,ML,1661032309
317,Rawson,-43.3002,-65.1023,46.42,82,38,9.64,AR,1661032309
318,Yārāda,17.65,83.2667,82.8,75,100,7.0,IN,1661032310
319,Tinos,37.5375,25.1634,83.16,61,0,0.0,GR,1661032310
320,Usinsk,65.9939,57.5281,61.86,78,74,10.07,RU,1661032310
321,Koson,39.0375,65.585,68.32,16,0,17.29,UZ,1661032311
322,Samarai,-10.6167,150.6667,77.77,85,52,11.77,PG,1661032152
323,Beira,-19.8436,34.8389,64.49,88,0,0.0,MZ,1661032311
324,Hohhot,40.8106,111.6522,71.89,78,40,4.47,CN,1661032311
325,Ancud,-41.8697,-73.8203,50.02,90,91,3.89,CL,1661032291
326,Slave Lake,55.2834,-114.769,71.58,78,100,5.75,CA,1661032312
327,Saint Paul Harbor,57.79,-152.4072,54.91,94,100,11.5,US,1661032312
328,Kloulklubed,7.0419,134.2556,82.53,73,94,2.13,PW,1661032313
329,Djibouti,11.5,42.5,78.21,62,100,8.28,DJ,1661032309
330,Amalāpuram,16.5833,82.0167,79.99,78,100,6.4,IN,1661032313
331,Wanlaweyn,2.6185,44.8938,74.66,84,88,14.9,SO,1661032313
332,Vanimo,-2.6741,141.3028,77.11,86,81,3.29,PG,1661032314
333,Calella,41.618,2.6678,80.1,80,1,6.67,ES,1661032314
334,Berlevåg,70.8578,29.0864,71.4,83,40,17.27,NO,1661032314
335,Paka,4.6374,103.4368,73.33,100,100,0.0,MY,1661032315
336,Marzuq,14.4,46.4667,79.36,53,98,6.46,YE,1661032315
337,Boden,65.8252,21.6886,68.0,96,100,8.97,SE,1661032315
338,Kalakamati,-20.5929,27.3121,51.98,21,8,7.96,BW,1661032316
339,San Quintín,30.4833,-115.95,73.24,69,9,8.93,MX,1661032316
340,Geraldton,-28.7667,114.6,45.01,93,0,8.05,AU,1661032316
341,Gouré,13.9835,10.2704,81.01,53,92,8.52,NE,1661032317
342,Lawrence,38.9717,-95.2353,88.79,45,0,11.5,US,1661032317
343,Itarema,-2.9248,-39.9167,77.7,74,27,16.42,BR,1661032317
344,Magistral'nyy,56.1725,107.4458,47.8,95,100,3.24,RU,1661032318
345,Dongsheng,39.8161,109.9776,66.94,88,82,15.93,CN,1661032128
346,Esperance,-33.8667,121.9,51.93,82,2,7.23,AU,1661032318
347,Bako,5.7833,36.5667,62.56,84,64,2.82,ET,1661032318
348,Kobylí,48.9329,16.8916,67.08,94,100,11.01,CZ,1661032319
349,Codrington,-38.2667,141.9667,38.01,84,7,8.75,AU,1661032319
350,Thunder Bay,48.4001,-89.3168,75.11,50,75,5.75,CA,1661032319
351,Rengāli,21.6333,84.05,74.48,92,100,10.56,IN,1661032320
352,Yunyang,33.4474,112.7142,75.38,80,82,2.68,CN,1661032320
353,Atambua,-9.1061,124.8925,66.25,78,3,6.31,ID,1661032324
354,Mulegé,26.8833,-111.9833,85.82,46,100,1.88,MX,1661032324
355,Namatanai,-3.6667,152.4333,80.51,78,50,6.24,PG,1661032325
356,Antofagasta,-23.65,-70.4,58.28,78,43,5.32,CL,1661032097
357,Shaunavon,49.6501,-108.4181,83.98,21,70,12.06,CA,1661032325
358,Houma,29.5958,-90.7195,78.8,94,97,1.01,US,1661032168
